City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
314,hofn,64.2539,-15.2082,31.37,52,94,5.35,IS,1618095193
315,broome,42.2506,-75.833,69.8,43,1,8.05,US,1618095194
316,pionerskiy,54.9508,20.2275,35.6,80,0,5.61,RU,1618095194
317,port blair,11.6667,92.75,81.1,77,80,3.78,IN,1618095194
318,kuppam,12.75,78.3667,69.22,86,0,1.68,IN,1618095194
319,roebourne,-20.7833,117.1333,82.83,76,52,9.93,AU,1618095195
320,vigrestad,58.5667,5.7,30.0,92,13,7.29,NO,1618095195
321,tromso,69.6496,18.957,33.8,93,75,23.02,NO,1618095195
322,severodvinsk,64.5635,39.8302,37.4,81,75,11.18,RU,1618095195
323,isangel,-19.55,169.2667,79.57,84,100,10.8,VU,1618095196
324,maryville,35.7565,-83.9705,69.01,82,90,11.5,US,1618095196
325,cherskiy,68.75,161.3,-8.55,81,73,2.35,RU,1618095196
326,akyab,20.15,92.9,76.05,86,3,5.86,MM,1618095196
327,purwakarta,-6.5569,107.4433,72.0,90,97,1.99,ID,1618095197
328,xai-xai,-25.0519,33.6442,69.33,93,1,5.48,MZ,1618095197
329,port hawkesbury,45.6169,-61.3485,32.0,69,90,11.5,CA,1618095197
330,mecca,21.4267,39.8261,73.6,46,1,8.28,SA,1618095197
331,jiupu,41.0667,122.95,54.12,40,97,11.1,CN,1618095198
332,camocim,-2.9022,-40.8411,77.67,89,50,10.69,BR,1618095198
333,anadyr,64.75,177.4833,8.6,61,100,6.71,RU,1618095198
334,clarksburg,39.2807,-80.3445,75.2,43,20,16.11,US,1618095198
335,kerema,-7.9631,145.7785,79.5,78,90,2.82,PG,1618095199
336,coos bay,43.3665,-124.2179,53.01,58,20,16.11,US,1618095188
337,fairbanks,64.8378,-147.7164,15.01,31,1,10.36,US,1618095199
338,steinbach,50.1667,8.5667,50.0,87,20,4.61,DE,1618095199
339,grindavik,63.8424,-22.4338,33.8,100,90,11.5,IS,1618095199
340,hamilton,39.1834,-84.5333,61.0,88,90,11.5,US,1618094926
341,wyndham,37.6985,-77.6125,77.0,53,1,4.61,US,1618094924
342,aktau,43.65,51.2,46.4,87,40,4.47,KZ,1618095200
343,cidreira,-30.1811,-50.2056,75.24,80,100,10.09,BR,1618095200
344,santa helena de goias,-17.8136,-50.5969,71.74,57,0,3.04,BR,1618095200
345,chilca,-12.5211,-76.7372,73.4,68,0,4.61,PE,1618095201
346,cassilandia,-19.1133,-51.7342,74.34,40,0,3.24,BR,1618095129
347,rognan,67.0953,15.3878,36.0,92,100,9.93,NO,1618095201
348,sarangani,5.4033,125.4636,82.15,72,99,6.93,PH,1618095201
349,zaozerne,45.1582,33.2787,46.99,53,50,15.61,UA,1618095201
350,linhares,-19.3911,-40.0722,70.02,84,16,3.96,BR,1618095202
351,belle fourche,44.6714,-103.8522,66.0,19,1,8.05,US,1618095202
352,ballina,-28.8667,153.5667,71.01,64,36,9.22,AU,1618095202
353,sembakung,3.8167,117.25,77.0,94,20,2.3,ID,1618095202
354,atar,20.5169,-13.0499,81.12,20,1,10.98,MR,1618095203
355,grand forks,47.9417,-97.4337,59.0,25,20,5.23,US,1618095203
356,samana,19.2056,-69.3369,78.8,78,20,9.1,DO,1618095203
357,nabire,-3.3667,135.4833,77.76,86,100,0.56,ID,1618095203
358,am timan,11.0297,20.2827,86.79,8,94,5.93,TD,1618095204
